formula,cif_path,n_atoms,a_A,b_A,c_A,alpha_deg,beta_deg,gamma_deg,volume_A3,eform_eV_per_atom,eform_method,spg_number,spg_symbol,point_group,is_polar,in_top30,rank
InPS3I,data/structures/InPS3I/rank15_InPS3I_N6_Eform-0.68031.cif,6,4.7694,6.5128,7.8804,71.6579,73.3743,68.3069,211.848,-0.68031,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
InPS3I,data/structures/InPS3I/InPS3I_6_e2.5983.cif,6,3.9985,6.0726,7.5968,96.7718,89.9163,89.8118,183.168,-0.675523,M3GNet-Eform-MP-2019.4.1,6,Pm,m,True,True,8
InPS3I,data/structures/InPS3I/rank16_InPS3I_N6_Eform-0.67552.cif,6,3.9985,6.0726,7.5968,96.7718,89.9163,89.8118,183.168,-0.675523,M3GNet-Eform-MP-2019.4.1,6,Pm,m,True,False,
InPS3I,data/structures/InPS3I/rank08_InPS3I_N6_Eform-0.67552.cif,6,3.9985,6.0726,7.5968,96.7718,89.9163,89.8118,183.168,-0.675523,M3GNet-Eform-MP-2019.4.1,6,Pm,m,True,False,
InPS3I,data/structures/InPS3I/InPS3I_4_e2.5983.cif,6,5.5893,6.202,6.2287,83.6406,87.7048,85.4175,213.799,-0.675121,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
InPS3I,data/structures/InPS3I/rank17_InPS3I_N6_Eform-0.67512.cif,6,5.5893,6.202,6.2287,83.6406,87.7048,85.4175,213.799,-0.675121,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
BiPS3I,data/structures/BiPS3I/BiPS3I_8_e2.5311.cif,6,4.0458,6.1807,7.5711,94.8598,89.608,89.8253,188.637,-0.674457,M3GNet-Eform-MP-2019.4.1,6,Pm,m,True,True,9
BiPS3I,data/structures/BiPS3I/rank18_BiPS3I_N6_Eform-0.67446.cif,6,4.0458,6.1807,7.5711,94.8598,89.608,89.8253,188.637,-0.674457,M3GNet-Eform-MP-2019.4.1,6,Pm,m,True,False,
BiPS3I,data/structures/BiPS3I/rank09_BiPS3I_N6_Eform-0.67446.cif,6,4.0458,6.1807,7.5711,94.8598,89.608,89.8253,188.637,-0.674457,M3GNet-Eform-MP-2019.4.1,6,Pm,m,True,False,
SnPS3I,data/structures/SnPS3I/SnPS3I_5_e2.6937.cif,6,3.9139,6.1116,7.6291,93.1224,89.668,89.7979,182.211,-0.657602,M3GNet-Eform-MP-2019.4.1,6,Pm,m,True,True,10
SnPS3I,data/structures/SnPS3I/rank10_SnPS3I_N6_Eform-0.65760.cif,6,3.9139,6.1116,7.6291,93.1224,89.668,89.7979,182.211,-0.657602,M3GNet-Eform-MP-2019.4.1,6,Pm,m,True,False,
SnPS3I,data/structures/SnPS3I/rank19_SnPS3I_N6_Eform-0.65760.cif,6,3.9139,6.1116,7.6291,93.1224,89.668,89.7979,182.211,-0.657602,M3GNet-Eform-MP-2019.4.1,6,Pm,m,True,False,
GaPS3I,data/structures/GaPS3I/GaPS3I_4_e2.6519.cif,6,4.1046,6.4645,7.612,89.2272,89.0196,79.6524,198.653,-0.656421,M3GNet-Eform-MP-2019.4.1,1,P1,1,True,False,
